# 181 known solutions of x1^6+...+x7^6 = z^6 (primitive, z < 424000)
# reconstructed from http://euler.free.fr/database.txt (the uploaded database.txt was corrupt)
# plus three new 2nd-kind primitives from this project's solve_617_v1 Branch A (07/2026)
# format: z = x1 + x2 + ... + x7  | kind | discoverer
248743 = 241209 + 160356 + 158718 + 128226 + 114282 + 79548 + 3248  | 2nd kind | Rolan Christofferson, 02/09/2007
249031 = 246932 + 150276 + 76242 + 64806 + 51660 + 40656 + 15225  | 2nd kind | Rolan Christofferson, 02/09/2007
249251 = 243096 + 161154 + 135750 + 131530 + 128016 + 60963 + 3738  | 2nd kind | Rolan Christofferson, 02/16/2007
250079 = 244426 + 165480 + 147600 + 80031 + 72366 + 58968 + 56868  | 2nd kind | Rolan Christofferson, 03/06/2007
254941 = 246372 + 191394 + 100800 + 94493 + 41562 + 14112 + 8652  | 2nd kind | Rolan Christofferson, 03/30/2007
262819 = 258202 + 176526 + 118398 + 75636 + 59724 + 30429 + 12642  | 2nd kind | Rolan Christofferson, 06/09/2007
267803 = 239952 + 226212 + 187579 + 82950 + 70980 + 29106 + 3822  | 2nd kind | Rolan Christofferson, 08/12/2007
268843 = 251118 + 216405 + 151194 + 150486 + 88620 + 60438 + 19768  | 2nd kind | Rolan Christofferson, 08/23/2007
270715 = 249627 + 222432 + 160188 + 153066 + 95998 + 38808 + 378  | 2nd kind | Rolan Christofferson, 07/25/2007
271423 = 248304 + 203007 + 188664 + 167678 + 156912 + 153774 + 5208  | 2nd kind | Rolan Christofferson, 08/01/2007
279073 = 244020 + 233100 + 188216 + 184584 + 145698 + 139167 + 44982  | 2nd kind | Rolan Christofferson, 10/22/2007
283501 = 275373 + 192376 + 163842 + 137004 + 136584 + 47922 + 9324  | 2nd kind | Rolan Christofferson, 10/22/2007
289549 = 234486 + 229005 + 220584 + 214410 + 185430 + 171900 + 54082  | 2nd kind | Rolan Christofferson, 04/15/2008
294955 = 276444 + 238014 + 169206 + 122276 + 121464 + 82572 + 37611  | 2nd kind | Rolan Christofferson, 03/19/2008
296917 = 291328 + 200088 + 144102 + 89880 + 75243 + 35532 + 25242  | 2nd kind | Rolan Christofferson, 03/27/2008
297329 = 262479 + 253806 + 198156 + 179680 + 114828 + 67410 + 48888  | 2nd kind | Rolan Christofferson, 04/03/2008
305825 = 283584 + 244062 + 207228 + 131544 + 105574 + 96810 + 70527  | 2nd kind | Rolan Christofferson, 10/13/2008
307553 = 255969 + 250866 + 245588 + 206988 + 150738 + 134694 + 47082  | 2nd kind | Rolan Christofferson, 11/27/2008
314173 = 312270 + 170268 + 136374 + 120414 + 91203 + 28700 + 23382  | 2nd kind | Rolan Christofferson, 09/24/2011
315425 = 297150 + 245424 + 191814 + 159642 + 148575 + 96390 + 19208  | 2nd kind | Rolan Christofferson, 04/11/2010
319799 = 268446 + 262647 + 242256 + 233534 + 106848 + 95172 + 92064  | 2nd kind | Ian Stopher, 11/13/2021
322523 = 286587 + 265722 + 242718 + 146202 + 129528 + 85960 + 71988  | 2nd kind | Rolan Christofferson, 11/02/2011
322937 = 268884 + 267918 + 265308 + 183036 + 65863 + 64386 + 17808  | 2nd kind | Rolan Christofferson, 11/07/2011
322979 = 273756 + 265266 + 263844 + 165984 + 137571 + 95844 + 20930  | 2nd kind | Rolan Christofferson, 11/09/2011
324641 = 298536 + 253512 + 222838 + 204792 + 89343 + 86058 + 71610  | 2nd kind | Rolan Christofferson, 12/14/2011
324833 = 279384 + 263412 + 243544 + 221151 + 165606 + 162330 + 91644  | 2nd kind | Rolan Christofferson, 12/14/2011
327947 = 309708 + 260298 + 184254 + 149548 + 72324 + 19509 + 5208  | 2nd kind | Rolan Christofferson, 01/23/2012
328889 = 321300 + 217770 + 176295 + 165504 + 137648 + 103824 + 71400  | 2nd kind | Rolan Christofferson, 02/06/2012
330485 = 326634 + 208806 + 132300 + 67802 + 67326 + 59787 + 11172  | 2nd kind | Rolan Christofferson, 02/29/2012
337075 = 301875 + 276500 + 230874 + 219426 + 64638 + 26460 + 7602  | 2nd kind | Rolan Christofferson, 06/11/2012
341335 = 306768 + 282660 + 223686 + 200592 + 169694 + 168567 + 98154  | 2nd kind | Rolan Christofferson, 09/20/2012
341891 = 305382 + 285936 + 235836 + 196350 + 136752 + 116144 + 101955  | 2nd kind | Rolan Christofferson, 10/02/2012
400471 = 357609 + 355502 + 144756 + 129696 + 93240 + 83202 + 13860  | 2nd kind | this project (solve_617_v1), 07/2026
410455 = 343574 + 315798 + 307902 + 271740 + 260826 + 259812 + 253911  | 2nd kind | Rolan Christofferson, 01/18/2010
421663 = 392630 + 306102 + 296394 + 258888 + 231294 + 112560 + 85407  | 2nd kind | this project (solve_617_v1), 07/2026
423601 = 400014 + 344778 + 98994 + 36834 + 11473 + 8610 + 6720  | 2nd kind | this project (solve_617_v1), 07/2026
